,NAME,percent_uninsured,time,Location,expanded_medicaid,highlight1,highlight2,highlight3,highlight4,highlight5,highlight6
47,California,20.2,2011,California,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
48,California,20.0,2012,California,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
49,California,19.4,2013,California,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
50,California,14.099999999999998,2014,California,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
51,California,9.7,2015,California,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
52,California,8.4,2016,California,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
53,California,8.2,2017,California,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
54,California,8.3,2018,California,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
55,Colorado,18.1,2008,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
56,Colorado,17.2,2009,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
57,Colorado,17.7,2010,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
58,Colorado,17.0,2011,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
59,Colorado,16.7,2012,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
60,Colorado,16.0,2013,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
61,Colorado,11.7,2014,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
62,Colorado,9.2,2015,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
63,Colorado,8.6,2016,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
64,Colorado,8.7,2017,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
65,Colorado,8.8,2018,Colorado,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
66,Connecticut,10.1,2008,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
67,Connecticut,10.2,2009,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
68,Connecticut,10.4,2010,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
69,Connecticut,10.1,2011,Connecticut,Yes,noHighlight,noHighlight,noHighlight,noHighlight,Highlight,noHighlight
